horse_id,sire,dam_sire
2019101629,ディープインパクト,Storm Cat
2020105626,キズナ,Galileo
2019105768,ベーカバド,ダンスインザダーク
2022102199,レイデオロ,サクラバクシンオー
2021103345,ダノンバラード,ストーミングホーム
2022104725,サトノダイヤモンド,War Front
2022105485,サートゥルナーリア,ゼンノロブロイ
2022106180,シルバーステート,ルーラーシップ
2022103406,トーセンラー,ハービンジャー
2020105796,ゴールドシップ,コンデュイット
2022104500,カリフォルニアクローム,サウスヴィグラス
2023103388,ポエティックフレア,ネオユニヴァース
2023105279,ニューイヤーズデイ,ダイワメジャー
2023110026,Palace Pier,Dubawi
2023102439,シルバーステート,スウェプトオーヴァーボード
2023102473,フィエールマン,ロードカナロア
2023100690,インディチャンプ,Mr. Greeley
2023104838,サトノクラウン,マンハッタンカフェ
2023106086,キズナ,スウェプトオーヴァーボード
2023106063,アルアイン,ヴィクトワールピサ
2023102803,エピファネイア,Country Reel
2022107145,ロジャーバローズ,アドマイヤマックス
2022100146,ワールドエース,キングヘイロー
2022105968,ルヴァンスレーヴ,アフリート
2022106850,ホッコータルマエ,ブライアンズタイムBrian'
2022103940,マインドユアビスケッツ,エスポワールシチー
2022106786,ダノンバラード,サクラバクシンオー
2022100638,シルバーステート,キングカメハメハ
2022100217,サトノダイヤモンド,メジロベイリー
2022104895,ロードカナロア,ダイワメジャー
2022103895,リアルスティール,Medaglia d'Oro
2022101678,ディスクリートキャット,ディープインパクト
2022106835,ビッグアーサー,スパイキュール
2022103899,サートゥルナーリア,ハービンジャー
2022100644,ダイワメジャー,ロードカナロア
2022107056,スクリーンヒーロー,ハービンジャー
2022100075,シルバーステート,キングヘイロー
2022104150,ビッグアーサー,ルーラーシップ
2022105793,ミッキーアイル,ハービンジャー
2022105340,イスラボニータ,Sharp Humor
2022101459,モーリス,ロードカナロア
2022103214,モーリス,ダイワメジャー
2022104133,キンシャサノキセキ,スウェプトオーヴァーボード
2022103142,アメリカンペイトリオット,ヴィクトワールピサ
2022101439,カラヴァッジオ,Pioneerof the Nile
2022103232,ドゥラメンテ,New Approach
2022104969,ブリックスアンドモルタル,キングカメハメハ
2022109092,アドマイヤマーズ,ヨハネスブルグ
2022100239,ハクサンムーン,シンボリクリスエス
2022104201,ロジャーバローズ,ゼンノロブロイ
2022105448,イスラボニータ,Intikhab
2022102133,ミッキーアイル,Hard Spun
2022100427,アドマイヤマーズ,キングカメハメハ
2022104706,サートゥルナーリア,ディープインパクト
2022101326,ディーマジェスティ,アドマイヤムーン
2022101214,サトノダイヤモンド,ロックオブジブラルタル
2023107091,サートゥルナーリア,Sightseeing
2023106288,ホークビル,エイシンフラッシュ
2023103351,ロードカナロア,ディープインパクト
2023102489,サートゥルナーリア,グラスワンダー
2023105200,イスラボニータ,キングヘイロー
2023104948,キズナ,Frankel
2023107085,リオンディーズ,ディープインパクト
2023104603,レイデオロ,オルフェーヴル
2023101001,オルフェーヴル,キングカメハメハ
2023106193,ロジャーバローズ,ロックオブジブラルタル
2023104449,サトノダイヤモンド,タニノギムレット
2023102698,リアルスティール,Unusual Heat
2022105796,ミッキーアイル,ハービンジャー
2022103222,ドゥラメンテ,More Than Ready
2022100068,フィエールマン,ヴィクトワールピサ
2022106195,ルーラーシップ,ハーツクライ
2022104076,ビーチパトロール,サクラバクシンオー
2022101580,ゴールドシップ,ヘニーヒューズ
2022102918,オルフェーヴル,Medicean
2022101397,ドゥラメンテ,Elusive Quality
2022103280,キタサンブラック,Invincible Spirit
2022105270,イスラボニータ,スピニングワールド
2022104968,キズナ,Canadian Frontier
2022100219,ハービンジャー,ルーラーシップ
2022100729,サトノアラジン,サウスヴィグラス
2021110057,City of Light,Bernstein
2022104546,Dandy Man,Sea The Moon
2021101891,レッドファルクス,タニノギムレット
2022110122,Take Charge Indy,Carpe Diem
2021100662,ヘニーヒューズ,ゴールドアリュール
2020104336,ドレフォン,ゼンノロブロイ
2021102550,グレーターロンドン,スタチューオブリバティ
2022103739,スズカコーズウェイ,サウスヴィグラス
2019102950,アーネストリー,スパイキュール
